"psu","n","new_ID","governorate","district","name","label"
"2809020",1,"cluster_location_id_0878","salah al-din","tooz.khurmato","Tal Al Naqqar","0878 (Tal Al Naqqar)"
"2809022",2,"cluster_location_id_0879","salah al-din","tooz.khurmato","Unformal Shelter","0879 (Unformal Shelter)"
"2809023",1,"cluster_location_id_0880","salah al-din","tooz.khurmato","Brawchili village","0880 (Brawchili village)"
"2809024",1,"cluster_location_id_0881","salah al-din","tooz.khurmato","Chardaghli village","0881 (Chardaghli village)"
"2809034",1,"cluster_location_id_0882","salah al-din","tooz.khurmato","Nawjool area","0882 (Nawjool area)"
"2809038",1,"cluster_location_id_0883","salah al-din","tooz.khurmato","Jawry","0883 (Jawry)"
"2809051",1,"cluster_location_id_0884","al-sulaymaniyah","chamchamal","Milnaser Village","0884 (Milnaser Village)"
"2809058",1,"cluster_location_id_0885","salah al-din","tooz.khurmato","Sulayman Beg sub district center","0885 (Sulayman Beg sub district center)"
"2809059",1,"cluster_location_id_0886","salah al-din","tooz.khurmato","Al-Salam Village","0886 (Al-Salam Village)"
"2903007",1,"cluster_location_id_0887","wassit","al.suwaira","Hay Al-Maghrib","0887 (Hay Al-Maghrib)"
"2903009",1,"cluster_location_id_0888","wassit","al.suwaira","Hay Al-askary","0888 (Hay Al-askary)"
"2903012",1,"cluster_location_id_0889","wassit","al.suwaira","Hai Al-Askari-5 Dunam","0889 (Hai Al-Askari-5 Dunam)"
"2903022",1,"cluster_location_id_0890","wassit","al.suwaira","Hay Al-Jameya","0890 (Hay Al-Jameya)"
"2903028",1,"cluster_location_id_0891","wassit","al.suwaira","Al-Zubaidiya city center","0891 (Al-Zubaidiya city center)"
"2904011",1,"cluster_location_id_0892","wassit","al.suwaira","Al-Azezia 150 area","0892 (Al-Azezia 150 area)"
"2904031",1,"cluster_location_id_0893","wassit","al.suwaira","Al-Sarai","0893 (Al-Sarai)"
"2904035",1,"cluster_location_id_0894","wassit","al.suwaira","Al-Tanmeya","0894 (Al-Tanmeya)"
"2904059",1,"cluster_location_id_0895","wassit","al.suwaira","Taj al-dien","0895 (Taj al-dien)"
"2904060",2,"cluster_location_id_0896","wassit","al.suwaira","Taj al-dien center 1","0896 (Taj al-dien center 1)"
"2906001",1,"cluster_location_id_0897","wassit","al.kut","Al Batar village","0897 (Al Batar village)"
"2906002",1,"cluster_location_id_0898","wassit","al.kut","Al Gardhia","0898 (Al Gardhia)"
"2906004",1,"cluster_location_id_0899","wassit","al.kut","Al Hasan Al Askari","0899 (Al Hasan Al Askari)"
"2906012",1,"cluster_location_id_0900","wassit","al.kut","Al-Jihad-Al Shaheed Dawood","0900 (Al-Jihad-Al Shaheed Dawood)"
"2906023",2,"cluster_location_id_0901","wassit","al.kut","Hay Al-Hawaraa 3","0901 (Hay Al-Hawaraa 3)"
"2906026",1,"cluster_location_id_0902","wassit","al.kut","Al-Jihad-Al-Sajad","0902 (Al-Jihad-Al-Sajad)"
